VIN,Year,Make,Model,Trim,Exterior Color,Interior Color,Odometer,MSRP,Stock Number,Fuel Economy
3FTTW8H35SRB14281,2025,Ford,Maverick,XLT,Velocity Blue,Navy Pier/Aspen Gray,0,"$32,340",SRB14281,
3FTTW8H38SRB03016,2025,Ford,Maverick,XLT,Velocity Blue,Navy Pier/Aspen Gray,0,"$32,340",SRB03016,
3FTTW8H38SRB26666,2025,Ford,Maverick,XLT,Azure Gray Metallic Tri-Coat,Navy Pier/Aspen Gray,0,"$32,835",SRB26666,
3FMCR9BN8SRF20154,2025,Ford,Bronco Sport,Big Bend,Shadow Black,Smkd Truffle,0,"$32,990",SRF20154,25/30
3FMCR9BN9SRF13147,2025,Ford,Bronco Sport,Big Bend,Shadow Black,Medium Light Smoked Truffle,0,"$32,990",,25/30
3FTTW8JA8SRB43816,2025,Ford,Maverick,XLT,,,0,"$33,260",SRB43816,
3FMCR9BN7SRF41836,2025,Ford,Bronco Sport,Big Bend,Shadow Black,Medium Light Smoked Truffle,0,"$33,690",,25/30
3FMCR9BN6SRF35767,2025,Ford,Bronco Sport,Big Bend,Oxford White,Medium Light Smoked Truffle,0,"$33,690",,25/30
3FMCR9BN2SRF28248,2025,Ford,Bronco Sport,Big Bend,Carbonized Gra,Smkd Truffle,0,"$34,685",SRF28248,25/30
3FMCR9BN9SRF20275,2025,Ford,Bronco Sport,Big Bend,Eruption Green,Smkd Truffle,0,"$35,080",SRF20275,25/30
1FTER4BH0SLE19019,2025,Ford,Ranger,XL,Oxford White,Ebony,0,"$35,170",SLE19019,21/25
1FTER4BH6SLE24127,2025,Ford,Ranger,XL,Oxford White,Ebony,0,"$35,315",SLE24127,21/25
1FTER4BH0SLE17898,2025,Ford,Ranger,XL,Gray Metallic,Ebony,0,"$35,315",SLE17898,21/25
1FA6P8TH7S5131217,2025,Ford,Mustang,Ecoboost Fastback,Shadow Black,Black Onyx,0,"$36,110",,22/33
1FA6P8TH4S5132437,2025,Ford,Mustang,Ecoboost Fastback,Oxford White,Black Onyx,0,"$36,110",,22/33
1FTER4BH4SLE30122,2025,Ford,Ranger,XL,Oxford White,Ebony,0,"$35,705",SLE30122,21/25
3FMCR9BN0SRF40379,2025,Ford,Bronco Sport,Big Bend,Desert Sand,Medium Light Smoked Truffle,0,"$35,980",,25/30
1FA6P8TH2S5132145,2025,Ford,Mustang,Ecoboost Fastback,Vapor Blue Metallic,Black Onyx,0,"$36,505",,21/
3FTCW8TA4SRA94918,2025,Ford,Maverick,Lobo,Shadow Black,Black Onyx,0,"$36,950",SRA94918,21/30
3FTCW8TA3SRB13782,2025,Ford,Maverick,Lobo,Carbonized Gray,Black Onyx,0,"$37,625",SRB13782,21/30
